id_lokasi;kode_node;nama_lokasi;latitude;longitude;volume;jenis
1;dlh;DLH KOTA PAREPARE;-3.988625;119.652161;;TPS
2;tps_002;jalan sosial 1;-3.985113;119.65232;62;TPS
3;tps_003;jalan sosial 2;-3.986159;119.650912;83;TPS
4;tps_004;jalan sosial 3;-3.986662;119.648613;43;TPS
5;tps_005;jalan sosial 4;-3.986451;119.64644;91;TPS
6;tps_006;jalan latsitardanus 1;-3.988425;119.651633;71;TPS
7;tps_007;jalan latsitardanus 2;-3.988757;119.650995;45;TPS
8;tps_008;jalan latsitardanus 2;-3.986459;119.651142;96;TPS
9;tps_009;gang sunu;-3.991103;119.634457;39;TPS
10;tps_010;jalan padat karya;-3.992157;119.653118;51;TPS
11;tps_011;jalan lkr lapadde 1;-3.99243;119.651708;74;TPS
12;tps_012;jalan lkr lapadde 2;-3.991991;119.652987;62;TPS
13;tps_013;jalan lanyer 1;-3.995212;119.659509;59;TPS
14;tps_014;jalan lanyer 2;-3.995188;119.661383;34;TPS
15;tps_015;jalan wisata raya;-4.005064;119.652904;43;TPS
16;tps_016;jalan lkr lapadde 3;-4.001464;119.665935;36;TPS
17;tps_017;jalan bukit madani;-4.001702;119.665634;33;TPS
18;tps_018;jalan bukit madani;-4.007142;119.638744;44;TPS
19;tps_019;jalan bukit madani;-4.002969;119.660892;84;TPS
20;tps_020;jalan wisata raya;-4.006049;119.652777;74;TPS
21;tps_021;jalan a yani ;-4.001892;119.645496;34;TPS
22;tps_022;jalan industri kecil;-4.006137;119.639143;49;TPS
23;tps_023;jalan muspika;-4.002588;119.639145;95;TPS
24;tps_024;jalan manunggal;-3.992492;119.64554;97;TPS
25;tps_025;jalan ar malaka;-3.994463;119.645866;85;TPS
26;tps_026;jalan manunggal;-3.997774;119.644582;59;TPS
27;tps_027;jalan laupe;-3.989203;119.6379;83;TPS
28;tps_028;jalan al hikma;-3.989344;119.649451;74;TPS
29;tps_029;jalan pendidikan;-3.988622;119.646099;64;TPS
30;tps_030;jalan pendidikan;-3.98296;119.641346;70;TPS
31;tps_031;jalan kebun sayur utara;-3.998991;119.635948;63;TPS
32;tps_032;jalan laupe;-3.990525;119.644;65;TPS
33;tps_033;jalan h. Laele;-3.988522;119.63774;43;TPS
34;tps_034;jalan amal bhakti;-3.987755;119.640143;58;TPS
35;tps_035;jalan melingkar;-3.991331;119.642864;72;TPS
36;tps_036;jalan nusa karya;-3.989134;119.643688;61;TPS
37;tps_037;jalan bukit harapan;-3.988491;119.644765;44;TPS
38;tps_038;jalan manunggal;-3.9975;119.6446;100;TPS
39;tps_039;jalan handayani;-3.995793;119.650096;52;TPS
40;tps_040;jalan lagaligo;-3.994915;119.650279;36;TPS
41;tps_041;jalan karya bakti;-3.995997;119.652977;62;TPS
42;tps_042;jalan al munawwir;-3.997676;119.657126;98;TPS
43;tps_043;jalan lino harapan;-3.992681;119.654707;75;TPS
44;tps_044;jalan lino harapan 1;-3.993721;119.654607;47;TPS
45;tps_045;jalan lino harapan 2 ;-3.99481;119.654142;95;TPS
46;tps_046;jalan al munawwir;-3.995458;119.653422;86;TPS
47;tps_047;jalan wirabuana;-3.99829;119.65211;97;TPS
48;tps_048;jalan bukit madani;-4.007211;119.638958;46;TPS
49;tps_049;jalan bukit madani;-4.006002;119.653421;62;TPS
50;tps_050;jalan bukit madani;-4.004215;119.649483;57;TPS
51;tps_051;jalan bukit madani;-4.005681;119.646608;96;TPS
52;tps_052;jalan h andi ajaib;-4.00672;119.637202;80;TPS
53;tps_053;jalan abubakar lambogo;-4.006358;119.635639;44;TPS
54;tps_054;lorong 1 ujung lare;-4.005836;119.637208;95;TPS
55;tps_055;lorong 2 ujung lare;-4.005385;119.637452;52;TPS
56;tps_056; jalan bukit indah lorong 4;-4.003895;119.63675;60;TPS
57;tps_057;jalan la ondeng;-4.001883;119.64044;53;TPS
58;tps_058;jalan bukit indah;-4.000909;119.639024;73;TPS
59;tps_059;jalan andi makkulau;-4.002932;119.636267;39;TPS
